override_id	url	http_code	content_type	size_download	is_pdf	status	note	checked_at
ASOT_0030_berry_1984_mirrors	https://royalsocietypublishing.org/doi/pdf/10.1098/rspa.1984.0023	403	text/html; charset=UTF-8	6371	0	http_403		2026-02-15
ASOT_0030_berry_1984_mirrors	https://isidore.co/misc/Physics%20papers%20and%20books/Modern%20Papers/Good%20overview%20of%20Aharanov-Bohm%20effect%3A%20Proc.%20R.%20Soc.%20Lond.%20A-1984-Berry-45-57.pdf	200	application/pdf	1395398	1	pdf_ok		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/pr/pdf/10.1103/PhysRev.124.925	403	text/html; charset=UTF-8	6112	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prb/pdf/10.1103/PhysRevB.14.2239	403	text/html; charset=UTF-8	6171	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prd/pdf/10.1103/PhysRevD.23.287	403	text/html; charset=UTF-8	6124	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.43.744	403	text/html; charset=UTF-8	6143	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.49.405	403	text/html; charset=UTF-8	6170	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.69.2863	403	text/html; charset=UTF-8	6167	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.71.3697	403	text/html; charset=UTF-8	6141	0	http_403		2026-02-15
ASOT_APS_physrev_pdf_candidates	https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.78.5	403	text/html; charset=UTF-8	6097	0	http_403		2026-02-15
ASOT_0047_sage_pubmed	https://journals.sagepub.com/doi/pdf/10.1177/2156587216668109	403	text/html; charset=UTF-8	6335	0	http_403		2026-02-15
ASOT_0062_cawagas_2004_bibliotekanauki	https://bibliotekanauki.pl/articles/729117.pdf	200	application/octet-stream	393173	1	pdf_ok		2026-02-15
ASOT_8219_fix_arxiv_math_0403113	https://arxiv.org/pdf/math/0403113.pdf	200	application/pdf	206494	1	pdf_ok		2026-02-15
ASOT_8219_fix_arxiv_math_0403113	https://export.arxiv.org/pdf/math/0403113.pdf	200	application/pdf	206494	1	pdf_ok		2026-02-15
ASOT_8231_wolfram_archive	http://www.wolframscience.com/conference/2004/presentations/materials/rdemarrais.pdf	404	text/html; charset=UTF-8	66726	0	http_404		2026-02-15
ASOT_8231_wolfram_archive	https://web.archive.org/web/*/http://www.wolframscience.com/conference/2004/presentations/materials/rdemarrais.pdf	200	text/html	35793	0	ok_nonpdf		2026-02-15
ASOT_8232_oup_ptt110	https://academic.oup.com/ptep/article-pdf/2014/1/013A03/4432616/ptt110.pdf	403	text/html; charset=UTF-8	6331	0	http_403		2026-02-15
ASOT_8233_archive_direct_pdf	https://archive.org/download/elementarytreat00tailuoft/elementarytreat00tailuoft.pdf	503	text/html; charset=UTF-8	155677	0	http_503		2026-02-15
ASOT_8234_archive_direct_pdf	https://archive.org/download/theoryofbiquater00conwrich/theoryofbiquater00conwrich.pdf	503	text/html; charset=UTF-8	155678	0	http_503		2026-02-15
ASOT_8341_cms_math_pdf	https://cms.math.ca/wp-content/uploads/2020/02/cmb49-4-6.pdf	404	text/html; charset=UTF-8	21756	0	http_404		2026-02-15
ASOT_8341_cms_math_pdf	https://cms.math.ca/wp-content/uploads/2020/01/cmb49-4-6.pdf	404	text/html; charset=UTF-8	21756	0	http_404		2026-02-15
ASOT_8374_cambridge_to_arxiv	https://arxiv.org/pdf/2311.18594.pdf	200	application/pdf	532709	1	pdf_ok		2026-02-15
ASOT_8381_bales_tree_scispace	https://www.researchgate.net/profile/John-Bales/publication/238738095_A_Tree_for_Computing_the_Cayley-Dickson_Twist/links/0a85e53a8b63445499000000/A-Tree-for-Computing-the-Cayley-Dickson-Twist.pdf	403	text/html; charset=UTF-8	12193	0	http_403		2026-02-15
ASOT_8381_bales_tree_scispace	https://scispace.com/pdf/a-tree-for-computing-the-cayley-dickson-twist-2vy32iu9ys.pdf	405	text/html; charset=UTF-8	2117	0	http_405		2026-02-15
